date,temperature,humidity,pressure,wind_speed
2025-11-22,13.2,63,963.3,4.2
2025-11-23,13.5,60,963.6,2.5
2025-11-24,12.1,69,964.8,2.4
2025-11-25,12.0,64,964.5,3.3
2025-11-26,12.8,59,964.5,2.7
2025-11-27,11.2,69,966.6,2.6
2025-11-28,11.1,66,965.1,2.9
2025-11-29,11.2,63,963.1,1.9
2025-11-30,10.9,63,961.3,2.4
2025-12-01,10.8,66,960.5,1.8
2025-12-02,11.0,64,961.8,2.4
2025-12-03,10.3,68,964.6,3.0
2025-12-04,11.3,59,964.7,3.1
2025-12-05,12.2,58,966.8,4.4
2025-12-06,11.1,61,966.2,5.2
2025-12-07,11.8,61,964.9,2.8
2025-12-08,11.4,63,965.8,2.9
2025-12-09,11.4,54,964.5,4.0
2025-12-10,11.9,56,963.7,3.0
2025-12-11,12.0,59,963.0,3.2
2025-12-12,12.6,59,961.7,3.3
2025-12-13,12.3,71,963.3,3.7
2025-12-14,12.7,72,965.2,3.8
2025-12-15,13.0,71,964.9,3.0
2025-12-16,13.3,67,964.0,4.3
2025-12-17,13.4,66,963.9,2.4
2025-12-18,13.5,68,964.7,2.5
2025-12-19,12.9,61,962.2,3.2
2025-12-20,13.8,64,960.5,2.7
2025-12-21,13.0,82,963.7,4.9
2025-12-22,12.7,84,965.2,6.0
2025-12-23,11.8,82,963.8,6.1
2025-12-24,11.6,71,961.4,4.9
2025-12-25,11.0,62,961.8,2.7
2025-12-26,11.5,63,963.1,2.6
2025-12-27,10.4,59,962.8,3.4
2025-12-28,12.2,57,963.0,2.0
2025-12-29,11.1,68,962.7,3.4
2025-12-30,10.9,74,960.9,4.5
2025-12-31,9.7,92,958.5,4.4
2026-01-01,10.6,85,961.9,5.1
2026-01-02,9.5,79,964.0,4.6
2026-01-03,10.9,71,963.3,3.3
2026-01-04,10.4,82,965.4,4.2
2026-01-05,9.6,81,967.1,5.0
2026-01-06,8.6,70,966.7,4.5
2026-01-07,8.3,67,967.7,4.7
2026-01-08,7.5,61,967.0,3.2
2026-01-09,7.6,74,967.1,5.0
2026-01-10,7.4,66,965.7,2.4
2026-01-11,7.5,63,967.3,3.3
2026-01-12,9.1,62,966.1,2.8
2026-01-13,7.9,72,966.0,3.5
